Split,NDCG@10,NDCG@30,Recall@10,Recall@30,DP@10,DP@30,EO@10,EO@30,F1@10,F1@30,Precision@10,Precision@30,MRR@10,MRR@30
1:1,-0.005743000000000002,-0.007826000000000003,-0.009336999999999998,-0.017795999999999992,-0.173894,-0.177897,-0.31256200000000006,-0.28044099999999994,-0.003277000000000002,-0.002647,-0.001259999999999999,-0.001098,-0.001347000000000001,-0.0031780000000000003
1:2,-0.0036500000000000005,-0.0057859999999999995,-0.006622999999999997,-0.012951000000000004,-0.15118900000000002,-0.130688,-0.25711300000000004,-0.24910400000000005,-0.002139000000000002,-0.0020349999999999986,-0.0007969999999999991,-0.0009999999999999992,0.0004979999999999984,-0.0006079999999999974
1:4,-0.004592000000000002,-0.006886999999999997,-0.008090999999999997,-0.015037000000000002,-0.14145499999999997,-0.11613099999999998,-0.20875599999999994,-0.21546399999999993,-0.0029130000000000024,-0.0024589999999999994,-0.00132,-0.001233999999999999,-0.0018860000000000057,-0.002716999999999997
1:6,-0.003575000000000002,-0.005575999999999998,-0.006166000000000001,-0.012169,-0.14174099999999995,-0.11678899999999998,-0.165952,-0.15762900000000002,-0.002123,-0.0019940000000000027,-0.000877000000000001,-0.0010039999999999997,-0.0010000000000000009,-0.0018540000000000015
1:10,-0.0032319999999999988,-0.005423000000000004,-0.005326000000000001,-0.012857,-0.164331,-0.137102,-0.17238399999999998,-0.15846700000000002,-0.001693,-0.0018600000000000005,-0.0006549999999999993,-0.0008879999999999999,0.0003660000000000052,-0.0003820000000000004
1:24,-0.003970999999999999,-0.0051680000000000025,-0.005932999999999997,-0.009793000000000003,-0.13910399999999995,-0.11551300000000003,-0.1301690000000001,-0.09089600000000009,-0.0022879999999999984,-0.0015319999999999986,-0.0011509999999999992,-0.0007609999999999995,-0.0018400000000000014,-0.002366
