1:1;0,023729;0,034341;0,032267;0,064827;0,323758;0,289072;0,601369;0,572216;0,019834;0,018046;0,014216;0,010305;0,044348;0,050267
1:2;0,023534;0,034315;0,032267;0,062937;0,346994;0,290155;0,622800;0,605214;0,019938;0,018045;0,014426;0,010532;0,044650;0,049897
1:4;0,025121;0,036327;0,034482;0,066344;0,388410;0,327601;0,661275;0,649407;0,021156;0,018791;0,015259;0,010946;0,047683;0,052798
1:6;0,023587;0,034938;0,032321;0,064749;0,424098;0,362872;0,690752;0,662609;0,020218;0,018457;0,014710;0,010763;0,045550;0,050812
1:10;0,023391;0,034327;0,031985;0,063362;0,481225;0,420234;0,713445;0,710337;0,019511;0,017880;0,014036;0,010408;0,044908;0,050129
1:24;0,024352;0,035324;0,032740;0,064333;0,550561;0,495279;0,769136;0,760901;0,020265;0,018206;0,014674;0,010603;0,046968;0,052130
